"age","work.class","final.weight","education","years.school","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","income","income.g50"
29," Private",286452," Assoc-acdm",12," Divorced"," Sales"," Unmarried"," White"," Female",40," United-States"," <=50K",0
39," Self-emp-not-inc",597843," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",50," Columbia"," <=50K",0
40," Self-emp-not-inc",111971," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",30," United-States"," <=50K",0
55," Self-emp-inc",141807," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",60," United-States"," >50K",1
34," Private",215047," Some-college",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",45," United-States"," <=50K",0
52," Private",229983," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",30," United-States"," >50K",1
34," Private",221167," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," United-States"," >50K",1
21," Private",206681," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",15," United-States"," <=50K",0
37," Private",162494," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
60," Private",82775," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",55," United-States"," <=50K",0
39," Private",187847," HS-grad",9," Divorced"," Machine-op-inspct"," Own-child"," White"," Male",50," United-States"," <=50K",0
23," Private",163665," HS-grad",9," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",32," United-States"," <=50K",0
24," Private",274398," Some-college",10," Never-married"," Adm-clerical"," Own-child"," Black"," Female",20," United-States"," <=50K",0
22," Private",123727," Some-college",10," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Female",30," United-States"," <=50K",0
44," Federal-gov",102238," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",40," United-States"," <=50K",0
29," Private",150717," Assoc-voc",11," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
37," Private",37238," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",45," United-States"," <=50K",0
28," Federal-gov",24153," 10th",6," Married-civ-spouse"," Other-service"," Wife"," Amer-Indian-Eskimo"," Female",40," United-States"," <=50K",0
46," Private",116666," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
39," State-gov",122353," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",45," United-States"," >50K",1
17," Private",401198," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",15," United-States"," <=50K",0
51," Private",118793," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",70," United-States"," >50K",1
34," Private",117529," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",54," Mexico"," <=50K",0
33," Private",273243," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," United-States"," <=50K",0
33," Private",183557," Assoc-acdm",12," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K",0
30," Local-gov",348802," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",40," United-States"," <=50K",0
47," Private",76034," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",57," United-States"," >50K",1
66," Self-emp-not-inc",212185," 7th-8th",4," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",48," United-States"," <=50K",0
21," ?",180303," Bachelors",13," Never-married"," ?"," Not-in-family"," Asian-Pac-Islander"," Male",25," ?"," <=50K",0
31," Private",137814," Some-college",10," Divorced"," Sales"," Own-child"," White"," Female",30," United-States"," <=50K",0
73," Private",333676," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",50," United-States"," <=50K",0
63," Private",200474," 1st-4th",2," Divorced"," Transport-moving"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
69," Private",312653," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",25," United-States"," <=50K",0
32," Private",329993," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," United-States"," <=50K",0
38," Private",223004," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",40," United-States"," <=50K",0
25," ?",196627," 11th",7," Never-married"," ?"," Own-child"," White"," Male",40," United-States"," <=50K",0
48," State-gov",49595," Masters",14," Divorced"," Protective-serv"," Not-in-family"," White"," Male",72," United-States"," <=50K",0
32," Self-emp-inc",275094," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",55," Mexico"," >50K",1
29," Private",134152," HS-grad",9," Separated"," Machine-op-inspct"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
56," Self-emp-inc",35723," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," United-States"," >50K",1
58," Private",68624," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",45," United-States"," <=50K",0
53," Private",274528," Bachelors",13," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",70," United-States"," <=50K",0
62," Private",153891," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," United-States"," >50K",1
41," Private",211253," Masters",14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",40," United-States"," >50K",1
47," Private",329144," Some-college",10," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",48," United-States"," >50K",1
36," ?",98776," Some-college",10," Never-married"," ?"," Not-in-family"," White"," Male",30," United-States"," <=50K",0
71," Private",212806," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",36," United-States"," <=50K",0
20," Private",133515," Some-college",10," Never-married"," Sales"," Other-relative"," White"," Female",40," United-States"," <=50K",0
37," Local-gov",365430," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," Canada"," >50K",1
29," Private",327964," 9th",5," Divorced"," Machine-op-inspct"," Unmarried"," Black"," Female",40," United-States"," <=50K",0
58," Private",160662," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," >50K",1
53," Private",366957," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",50," India"," >50K",1
25," Private",185952," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",30," United-States"," <=50K",0
65," ?",111916," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",40," United-States"," <=50K",0
33," Private",178107," Bachelors",13," Never-married"," Craft-repair"," Own-child"," White"," Male",20," United-States"," <=50K",0
45," Private",287190," Assoc-acdm",12," Divorced"," Adm-clerical"," Unmarried"," Black"," Male",35," United-States"," <=50K",0
20," ?",37932," HS-grad",9," Never-married"," ?"," Not-in-family"," White"," Male",40," United-States"," <=50K",0
24," ?",154373," HS-grad",9," Married-civ-spouse"," ?"," Wife"," White"," Female",25," United-States"," <=50K",0
47," Private",107460," HS-grad",9," Separated"," Exec-managerial"," Unmarried"," White"," Female",37," United-States"," <=50K",0
47," Private",46044," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K",0
34," Private",62165," Some-college",10," Never-married"," Sales"," Other-relative"," Black"," Male",30," United-States"," <=50K",0
29," Private",126208," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",40," United-States"," <=50K",0
22," Private",210781," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K",0
62," Private",162245," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",70," United-States"," <=50K",0
